Entity,Code,Year,Annual CO₂ emissions
World,OWID_WRL,1995,23532083000
World,OWID_WRL,1996,24258169000
World,OWID_WRL,1997,24401906000
World,OWID_WRL,1998,24303778000
World,OWID_WRL,1999,24853730000
World,OWID_WRL,2000,25510554000
World,OWID_WRL,2001,25706293000
World,OWID_WRL,2002,26276870000
World,OWID_WRL,2003,27669490000
World,OWID_WRL,2004,28632506000
World,OWID_WRL,2005,29614395000
World,OWID_WRL,2006,30628397000
World,OWID_WRL,2007,31534645000
World,OWID_WRL,2008,32074200000
World,OWID_WRL,2009,31541922000
World,OWID_WRL,2010,33355903000
World,OWID_WRL,2011,34504540000
World,OWID_WRL,2012,35000020000
World,OWID_WRL,2013,35301655000
World,OWID_WRL,2014,35450094000
World,OWID_WRL,2015,35404900000
World,OWID_WRL,2016,35416658000
World,OWID_WRL,2017,35989897000
World,OWID_WRL,2018,36730425000
World,OWID_WRL,2019,37104275000
World,OWID_WRL,2020,35126526000
World,OWID_WRL,2021,36991734000
World,OWID_WRL,2022,37293834000
World,OWID_WRL,2023,37791570000
